Facility Type,Name,Atoll,Island,Phone,Email
Guest House,Belmar Beach,Alifu Alifu,Bodufolhudhoo,7229919,info@belmarmaldives.com
Guest House,Bougan Villea Retreat,Alifu Alifu,Bodufolhudhoo,7698440,admin@bouganvillearetreat.com
Guest House,Cocos Beach House,Alifu Alifu,Bodufolhudhoo,7933989,alidhifau@gmail.com
Guest House,Lagoon View Maldives,Alifu Alifu,Bodufolhudhoo,7979019,admin@lagoonviewmaldives.com
Guest House,Asaa View,Alifu Alifu,Feridhoo,7795713,ahmedsaana637@gmail.com
Guest House,Ayira Maldives,Alifu Alifu,Feridhoo,7973868,info@ayiramaldives.com
Guest House,Blue Starfish Maldives,Alifu Alifu,Feridhoo,7705606,shi.shix.shizoo@gmail.com
Guest House,Escapism Maldives,Alifu Alifu,Feridhoo,7965253,shuhad.ali@live.com
Guest House,Feridhoo Beach Villa,Alifu Alifu,Feridhoo,7781388,info@feridhoobeachvilla.com
Guest House,Feridhoo Inn,Alifu Alifu,Feridhoo,"9902305
9970590",info@feridhooinn.com
Guest House,Haveyli Grande,Alifu Alifu,Feridhoo,7773723,haveyligrande@gmail.com
Guest House,Isola Alifu,Alifu Alifu,Feridhoo,7779186,info@isolaalifu.com
Guest House,Mamello Beach Club Maldives,Alifu Alifu,Feridhoo,7984443,shamhooz60045@gmail.com
Guest House,Seven Sea's Sea View,Alifu Alifu,Feridhoo,7920528,thohirahmed.trevo@gmail.com
Guest House,Sevinex Inn,Alifu Alifu,Feridhoo,7907906,info@sevinexinn.com
Guest House,Shifa Lodge,Alifu Alifu,Feridhoo,7344908,shuaib.naseer1964@gmail.com
Guest House,The Castaway Retreat,Alifu Alifu,Feridhoo,9848825,info@castawayretreat.mv
Guest House,The Dreamscape Villa,Alifu Alifu,Feridhoo,7711424,Info@thedreamscapevilla.com
Guest House,Villa Rosa,Alifu Alifu,Feridhoo,7489674,info@villarosemaldives.com
Home Stay,Ayvana Retreat,Alifu Alifu,Feridhoo,7947405,shinatey141@gmail.com
Guest House,Black Pearl Himandhoo,Alifu Alifu,Himandhoo,9815497,riph.ham@gmail.com
Guest House,Casa De Himandhoo,Alifu Alifu,Himandhoo,7798777,fathimath.khalid@gmail.com
Guest House,Kuri Himandhoo Inn,Alifu Alifu,Himandhoo,9993949,
Guest House,Manta Sea View,Alifu Alifu,Himandhoo,9105437,bookings@mantaseaview.com
Guest House,Nika Inn Himandhoo,Alifu Alifu,Himandhoo,9989626,athif4xip@gmail.com
Guest House,Origami Inn,Alifu Alifu,Himandhoo,9170822,mohamed75azeez@gmail.com
Guest House,White Sand Himandhoo,Alifu Alifu,Himandhoo,7910210,zainzoyaziyan@gmail.com
Guest House,Splendour Grand,Alifu Alifu,Maalhos,"9926605
7797527",ganmedhuinvestment@gmail.com
Guest House,Captal Island Villa,Alifu Alifu,Mathiveri,9982544,captalislandvilla@gmail.com
Guest House,Ever Blue Guest House,Alifu Alifu,Mathiveri,7749203,everblueguesthouse@gmail.com
Guest House,Lux Inn Mathiveri,Alifu Alifu,Mathiveri,7924992,nawaxam90@gmail.com
Guest House,Mahchavaru Maldives,Alifu Alifu,Mathiveri,7782556,fowzan.maldives@gmail.com
Guest House,Mathiveri Thundi Inn,Alifu Alifu,Mathiveri,7784597,ranfaruhassan@gmail.com
Guest House,Serenity Reef Maldives,Alifu Alifu,Mathiveri,7630229,dispatullp@gmail.com
Guest House,Sis Tourist Villa,Alifu Alifu,Mathiveri,9300303,mail@sistouristvilla.com
Guest House,Sunset Beach Stay,Alifu Alifu,Mathiveri,7544080,mathiverisunset@gmail.com
Guest House,Vacanza Mathiveri,Alifu Alifu,Mathiveri,9900809,vacanza.mathiveri@gmail.com
Guest House,Velana Vibes,Alifu Alifu,Mathiveri,9922141,velanavibes@gmail.com
Guest House,Velana View,Alifu Alifu,Mathiveri,9922141,velanaview@gmail.com
Guest House,Water Cloud,Alifu Alifu,Mathiveri,9444415,info@water-cloud.co
Home Stay,Aquatic Mathiveri,Alifu Alifu,Mathiveri,9172173,mariyam.malsa.mohamed10@gmail.com
Guest House,Acqua Blu Rasdhoo,Alifu Alifu,Rasdhoo,9528528,acquablurasdhoo@gmail.com
Guest House,Arena Blanca,Alifu Alifu,Rasdhoo,7100008,arenablancarasdhoo@gmail.com
Guest House,Brickwood Ganduvaru,Alifu Alifu,Rasdhoo,7998512,shaafiu1991@gmail.com
Guest House,Brickwood Rasdhoo,Alifu Alifu,Rasdhoo,9158805,sales@ganduvaru.com
Guest House,Dhaankolhu Rasdhoo,Alifu Alifu,Rasdhoo,9181110,info@dhaankolhu.com
Guest House,Fins Dive and Leisure Inn,Alifu Alifu,Rasdhoo,7943731,nizar.keyodhoo@gmail.com
Guest House,Jerrys Dive Lodge,Alifu Alifu,Rasdhoo,7727876,jerry.diving@gmail.com
Guest House,Madivaru Kro,Alifu Alifu,Rasdhoo,7778219,info@madivarukro.com
Guest House,Quicksand Rasdhoo,Alifu Alifu,Rasdhoo,9778005,quicksandrasdhoo@gmail.com
Guest House,Ras Atoll Inn,Alifu Alifu,Rasdhoo,7943566,ahmedrasheed797979@gmail.com
Guest House,Ras Grand,Alifu Alifu,Rasdhoo,7773286,ibrahimamanik@gmail.com
Guest House,Ras Rana Lodge,Alifu Alifu,Rasdhoo,9786852,amujah@gmail.com
Guest House,Rasdhoo Coralville,Alifu Alifu,Rasdhoo,7961606,rasdhoocoralville@gmail.com
Guest House,Rasdhoo Island Inn,Alifu Alifu,Rasdhoo,9862014,info@rasdhooislandinn.com
Guest House,Rasdhoo Island Inn Beach Front,Alifu Alifu,Rasdhoo,9862014,info@rasdhooislandinn.com
Guest House,Rasdhoo Stay,Alifu Alifu,Rasdhoo,7721370,info@rasdhoostay.com
Guest House,Rasdu View Inn,Alifu Alifu,Rasdhoo,9949269,rasduviewinn@gmail.com
Guest House,Shallow Lagoon Rasdhoo,Alifu Alifu,Rasdhoo,7822680,mustho_2302@live.com
Guest House,Summer Vibes Beach Front,Alifu Alifu,Rasdhoo,9522626,faxun70@gmail.com
Guest House,The Palm Ray,Alifu Alifu,Rasdhoo,9673339,hello@thepalmray.com
Guest House,Unimaa Cottage,Alifu Alifu,Rasdhoo,9801516,ameelia@gmail.com
Home Stay,Rasdhoo Madi,Alifu Alifu,Rasdhoo,7739777,rasdhoo.madi@gmail.com
Home Stay,Rashuthere Maldives,Alifu Alifu,Rasdhoo,9119017,hussainsimau@gmail.com
Guest House,Aashaan View,Alifu Alifu,Thoddoo,9690280,mohamed.rauhan@outlook.com
Guest House,Ahola Thoddoo,Alifu Alifu,Thoddoo,7798066,sales@aholathoddoo.com
Guest House,Ale Sara Guest Maldive Thoddu,Alifu Alifu,Thoddoo,9506015,hawwaanuher@gmail.com
Guest House,Amazing View,Alifu Alifu,Thoddoo,9153344,view.thoddoo@gmail.com
Guest House,Ambra Maldives,Alifu Alifu,Thoddoo,9932002,fabrishiya@gmail.com
Guest House,Aqua Blu Thoddoo,Alifu Alifu,Thoddoo,7902029,bluescape.mv@gmail.com
Guest House,Aqua Oasis,Alifu Alifu,Thoddoo,7634165,arcipha@gmail.com
Guest House,Ari Stay Thoddoo,Alifu Alifu,Thoddoo,7915514,asif07574@gmail.com
Guest House,Athiriveli,Alifu Alifu,Thoddoo,9831683,"bisaprivatelimited@gmail.com
info@athirige.com"
Guest House,Avi Guesthouse,Alifu Alifu,Thoddoo,7778798,sarfaraz@coralliumtours.com
Guest House,Babushkha Hospitality,Alifu Alifu,Thoddoo,7777733,suntunaholidays@gmail.com
Guest House,Belena,Alifu Alifu,Thoddoo,7797771,info@belenamaldives.com
Guest House,Belvedere Thoddoo,Alifu Alifu,Thoddoo,9190901,belvederethoddoo@gmail.com
Guest House,Blue Coral Thoddoo,Alifu Alifu,Thoddoo,9854016,hassanshimaax@gmail.com
Guest House,Blue Water Thoddoo Inn,Alifu Alifu,Thoddoo,9695682,res.bluewater@gmail.com
Guest House,Boli Villa,Alifu Alifu,Thoddoo,9968060,bolivillathoddoo@gmail.com
Guest House,Brisa Fresca,Alifu Alifu,Thoddoo,9194733,brisafresca.thoddoo@gmail.com
Guest House,Chillax Thoddoo,Alifu Alifu,Thoddoo,9969979,chillaxthoddoo@gmail.com
Guest House,Coco Villa,Alifu Alifu,Thoddoo,7787904,info@coco-villa.com
Guest House,Dacha Thoddoo White Sand,Alifu Alifu,Thoddoo,7782862,dachamaldives@gmail.com
Guest House,Dhonkamana Stay,Alifu Alifu,Thoddoo,7888382,dhonkamanastay@gmail.com
Guest House,Evilaa Inn Thoddoo,Alifu Alifu,Thoddoo,9793777,evilainnthoddoo@gmail.com
Guest House,Fairytale Inn,Alifu Alifu,Thoddoo,7339225,fairytaleinn@gmail.com
Guest House,Hakuna,Alifu Alifu,Thoddoo,9394455,sales@hakunamaldives.com
Guest House,Heavenly Residence,Alifu Alifu,Thoddoo,9772949,reservation.heavenly@gmail.com
Guest House,Holiday Cottage,Alifu Alifu,Thoddoo,9790184,info@holidaycottage.com.mv
Guest House,Hudhufas Villa,Alifu Alifu,Thoddoo,"7783823
9996557",hudhufasvilla@gmail.com
Guest House,Island Vista Thoddoo,Alifu Alifu,Thoddoo,9787648,islandvistathoddoo@gmail.com
Guest House,Jenyva Inn,Alifu Alifu,Thoddoo,9573886,thoddoosunriseinn@gmail.com
Guest House,Jeym Lodge,Alifu Alifu,Thoddoo,9160614,jeymlodge@gmail.com
